No,Modul/Fitur,Aspek yang Dinilai,Skenario Pengujian,Hasil yang Diharapkan,Baik,Cukup,Kurang,Catatan
1,Login,Keberhasilan login user,Siswa memasukkan username dan password yang valid,User berhasil masuk ke sistem dan diarahkan ke halaman chatbot,,,,
2,Login,Validasi login gagal,Siswa memasukkan username atau password yang salah,Sistem menampilkan pesan gagal login yang jelas,,,,
3,Chatbot,Tampilan pesan awal,Siswa membuka halaman chatbot,Sistem menampilkan sapaan awal BoniBot dengan ikon idle,,,,
4,Chatbot,Kemudahan mengajukan pertanyaan,Siswa mengetik pertanyaan lalu menekan kirim,Pertanyaan terkirim dan muncul di area percakapan,,,,
5,Chatbot,Kejelasan jawaban chatbot,Siswa mengajukan pertanyaan yang sesuai materi buku,Chatbot memberikan jawaban yang mudah dipahami siswa,,,,
6,Chatbot,Kesesuaian jawaban dengan materi,Siswa mengajukan pertanyaan yang tersedia pada buku,Jawaban chatbot sesuai dengan materi yang tersimpan pada sistem,,,,
7,Chatbot,Penanganan pertanyaan di luar materi,Siswa mengajukan pertanyaan yang tidak ada pada materi,Chatbot memberi respons bahwa jawaban belum ditemukan pada materi yang tersedia,,,,
8,Chatbot,Perubahan ikon chatbot saat berhasil,Siswa mengajukan pertanyaan yang berhasil dijawab,Ikon BoniBot berubah ke ikon senang,,,,
9,Chatbot,Perubahan ikon chatbot saat gagal,Siswa mengajukan pertanyaan yang tidak ditemukan atau terjadi kendala,Ikon BoniBot berubah ke ikon sedih,,,,
10,History User,Penyimpanan riwayat percakapan,Siswa mengirim pertanyaan dan menerima jawaban,Riwayat pertanyaan dan jawaban tersimpan pada halaman history,,,,
11,History User,Kelengkapan informasi history,Siswa membuka halaman history,Halaman history menampilkan pertanyaan, jawaban, tanggal, dan waktu dengan benar,,,,
12,Profil,Perubahan password akun user,Siswa mengganti password dari halaman profil,Password berhasil diperbarui dan dapat digunakan untuk login kembali,,,,
13,Admin/Guru,Login admin,Guru memasukkan akun admin yang valid,Admin berhasil masuk ke halaman pengelolaan sistem,,,,
14,Admin/Guru,Upload buku baru,Guru mengunggah file buku beserta metadata heading,Data buku berhasil tersimpan di sistem,,,,
15,Admin/Guru,Proses indexing buku,Guru menjalankan proses indexing setelah upload buku,Sistem dapat memproses ekstraksi, chunking, dan indexing tanpa error utama,,,,
16,Admin/Guru,Manajemen data buku,Guru membuka halaman daftar buku,Daftar buku tampil dengan informasi yang lengkap dan mudah dipahami,,,,
17,Admin/Guru,Manajemen user,Guru membuka halaman user,Guru dapat melihat daftar user yang terdaftar dengan benar,,,,
18,Admin/Guru,Monitoring history siswa,Guru membuka history salah satu siswa,Guru dapat melihat riwayat pertanyaan dan jawaban siswa,,,,
19,Antarmuka,Kemudahan penggunaan sistem,Pengguna menggunakan fitur utama tanpa bantuan tambahan,Sistem mudah dipahami dan digunakan,,,,
20,Antarmuka,Konsistensi tampilan halaman,Pengguna berpindah antar halaman utama,Tampilan halaman konsisten dan tidak membingungkan pengguna,,,,
