id,subject,grade,book_code,question,ground_truth,reference_chunks
1,IPAS,4,IPAS_IV,Apa yang dimaksud dengan perubahan energi?,Perubahan energi adalah perubahan suatu bentuk energi menjadi bentuk energi yang lain agar dapat dimanfaatkan dalam kehidupan sehari-hari.,IPAS_IV_CH0019; IPAS_IV_CH0025
2,IPAS,4,IPAS_IV,Mengapa manusia mengubah bentuk energi?,"Manusia mengubah bentuk energi karena manusia tidak dapat menciptakan energi. Agar energi dapat dimanfaatkan, bentuk energi yang ada diubah menjadi bentuk lain yang sesuai kebutuhan.",IPAS_IV_CH0019; IPAS_IV_CH0086
3,IPAS,4,IPAS_IV,Bagaimana perubahan energi yang terjadi pada lampu?,Pada lampu terjadi perubahan energi listrik menjadi energi cahaya.,IPAS_IV_CH0086
4,IPAS,4,IPAS_IV,Bagaimana perubahan energi yang terjadi pada baterai?,"Pada baterai terjadi perubahan energi kimia menjadi energi listrik. Dalam alat tertentu, perubahan energi ini dapat berlanjut menjadi bentuk energi yang lain.",IPAS_IV_CH0041; IPAS_IV_CH0086
5,IPAS,4,IPAS_IV,Apa yang dimaksud dengan fotosintesis?,Fotosintesis adalah proses tumbuhan membuat makanannya sendiri dengan memanfaatkan energi cahaya Matahari.,IPAS_IV_CH0054; IPAS_IV_CH0077
6,IPAS,4,IPAS_IV,Apa saja yang dibutuhkan tumbuhan untuk melakukan fotosintesis?,"Untuk melakukan fotosintesis, tumbuhan membutuhkan cahaya Matahari, air, karbon dioksida, dan klorofil.",IPAS_IV_CH0060; IPAS_IV_CH0062; IPAS_IV_CH0068
7,IPAS,4,IPAS_IV,Mengapa fotosintesis penting bagi makhluk hidup?,Fotosintesis penting karena membuat tumbuhan menghasilkan makanan dan oksigen yang dibutuhkan makhluk hidup.,IPAS_IV_CH0069; IPAS_IV_CH0076; IPAS_IV_CH0077
8,IPAS,5,IPAS_V,Apa yang dimaksud dengan cahaya?,"Cahaya adalah bentuk energi yang dihasilkan oleh sumber cahaya, seperti Matahari, lampu, dan api.",IPAS_V_CH0037; IPAS_V_CH0044
9,IPAS,5,IPAS_V,Bagaimana cahaya merambat?,"Cahaya merambat lurus dari sumbernya dan tidak membutuhkan media seperti udara, air, atau benda padat untuk merambat.",IPAS_V_CH0044; IPAS_V_CH0045; IPAS_V_CH0064
10,IPAS,5,IPAS_V,Mengapa kita bisa melihat benda?,"Kita bisa melihat benda karena cahaya dipantulkan dari benda ke mata kita. Tanpa cahaya, tidak ada pantulan yang diterima mata.",IPAS_V_CH0046; IPAS_V_CH0064
11,IPAS,5,IPAS_V,Mengapa kita bisa melihat bayangan di cermin?,Kita bisa melihat bayangan di cermin karena cahaya dari sumber cahaya merambat ke cermin lalu dipantulkan ke mata kita.,IPAS_V_CH0046; IPAS_V_CH0058
12,IPAS,5,IPAS_V,Mengapa sendok terlihat bengkok ketika sebagian sendok dicelupkan ke dalam air?,"Sendok terlihat bengkok karena cahaya dibiaskan atau dibelokkan ketika menembus media yang berbeda, yaitu dari udara ke air.",IPAS_V_CH0049
13,IPAS,5,IPAS_V,Bagaimana pelangi terbentuk?,Pelangi terbentuk ketika cahaya Matahari mengenai butir-butir air hujan. Air hujan bertindak seperti prisma yang membiaskan dan menguraikan cahaya menjadi warna-warna pelangi.,IPAS_V_CH0050; IPAS_V_CH0052; IPAS_V_CH0064
14,IPAS,5,IPAS_V,Sebutkan tiga jenis cermin yang sering digunakan manusia.,"Tiga jenis cermin yang sering digunakan manusia adalah cermin datar, cermin cembung, dan cermin cekung.",IPAS_V_CH0059; IPAS_V_CH0060; IPAS_V_CH0061; IPAS_V_CH0062
